ItemID,ItemName,EquipPos,Profession,level,quality,DirectoryComment,ModelPrefabWarrior,ModelPrefabArcher,ModelPrefabSorcer,ModelPrefabCleric,ModelPrefab5,ModelPrefab6,ModelPrefab7,ModelPrefab8,PresentID,ReplaceID,AgainReplaceID
10015,特武 ● 黑龙气息长剑|特武 ● 黑龙气息长弓|特武 ● 黑龙气息法杖|特武 ● 黑龙气息权杖|特武 ● 黑龙气息加农炮,5,,,,,weapon/wa_ydd1_d01_sword_weapon,weapon/ar_ydd1_d01_bigbow_weapon,weapon/so_ydd1_d01_staff_weapon,weapon/cl_wjj2_d01_mace_weapon,weapon/ac_ydd1_d01_cannon_weapon,,,,,,
10016,特武 ● 黑龙气息护手|特武 ● 黑龙气息箭袋|特武 ● 黑龙气息魔法书|特武 ● 黑龙气息盾牌|特武 ● 黑龙气息穿线环,6,,,,equip/ydd/,wa_ydd1_d01_gauntlet,ar_ydd1_d01_quiver,so_ydd1_d01_book,cl_wjj2_d01_shield,ac_ydd1_d01_gauntlet,,,,,,
10030,熔岩帽子|熔岩帽子|熔岩帽子|熔岩帽子|熔岩帽子|熔岩帽子,0,,,,equip/ydd/,wa_ydd1_d01_helmet,ar_ydd1_d01_helmet,so_ydd1_d01_helmet,cl_wjj2_d01_helmet,ac_ydd1_d01_helmet,as_ydd1_d01_helmet,,,,0|0|0|10007|10006|0,
10031,熔岩上装|熔岩上装|熔岩上装|熔岩上装|熔岩上装|熔岩上装,1,,,,equip/ydd/,wa_ydd1_d01_body,ar_ydd1_d01_body,so_ydd1_d01_body,cl_wjj2_d01_body,ac_ydd1_d01_body,as_ydd1_d01_body,,,,,
10032,熔岩下装|熔岩下装|熔岩下装|熔岩下装|熔岩下装|熔岩下装,2,,,,equip/ydd/,wa_ydd1_d01_leg,ar_ydd1_d01_leg,so_ydd1_d01_leg,cl_wjj2_d01_leg,ac_ydd1_d01_leg,as_ydd1_d01_leg,,,,,
10033,熔岩手套|熔岩手套|熔岩手套|熔岩手套|熔岩手套|熔岩手套,3,,,,equip/ydd/,wa_ydd1_d01_glove,ar_ydd1_d01_glove,so_ydd1_d01_glove,cl_wjj2_d01_glove,ac_ydd1_d01_glove,as_ydd1_d01_glove,,,,,
10034,熔岩鞋子|熔岩鞋子|熔岩鞋子|熔岩鞋子|熔岩鞋子|熔岩鞋子,4,,,,equip/ydd/,wa_ydd1_d01_boots,ar_ydd1_d01_boots,so_ydd1_d01_boots,cl_wjj2_d01_boots,ac_ydd1_d01_boots,as_ydd1_d01_boots,,,,0|0|10001|0|0|0,
10035,熔岩长剑|熔岩长弓|熔岩法杖|熔岩权杖|熔岩加农炮|熔岩短剑,5,,,,,weapon/wa_ydd1_d01_sword_weapon,weapon/ar_ydd1_d01_bigbow_weapon,weapon/so_ydd1_d01_staff_weapon,weapon/cl_wjj2_d01_mace_weapon,weapon/ac_ydd1_d01_cannon_weapon,weapon/as_ydd1_d01_scimitar_weapon,,,,,
10036,熔岩护手|熔岩箭袋|熔岩魔法书|熔岩盾牌|熔岩穿线环|熔岩曲柄杖,6,,,,equip/ydd/,wa_ydd1_d01_gauntlet,ar_ydd1_d01_quiver,so_ydd1_d01_book,cl_wjj2_d01_shield,ac_ydd1_d01_gauntlet,as_ydd1_d01_crook,,,,,
10070,电影帽子（永久）|电影帽子（永久）|电影帽子（永久）|电影帽子（永久）|电影帽子（永久）|电影帽子（永久）,0,,,,equip/film/,wa_film_d01_helmet,ar_film_d01_helmet,so_film_d01_helmet,cl_film_d01_helmet,ac_film_d01_helmet,as_film_d01_helmet,,,,0|0|0|10007|10006|0,
10071,电影上装（永久）|电影上装（永久）|电影上装（永久）|电影上装（永久）|电影上装（永久）|电影上装（永久）,1,,,,equip/film/,wa_film_d01_body,ar_film_d01_body,so_film_d01_body,cl_film_d01_body,ac_film_d01_body,as_film_d01_body,,,,,
10072,电影下装（永久）|电影下装（永久）|电影下装（永久）|电影下装（永久）|电影下装（永久）|电影下装（永久）,2,,,,equip/film/,wa_film_d01_leg,ar_film_d01_leg,so_film_d01_leg,cl_film_d01_leg,ac_film_d01_leg,as_film_d01_leg,,,,,
10073,电影手套（永久）|电影手套（永久）|电影手套（永久）|电影手套（永久）|电影手套（永久）|电影手套（永久）,3,,,,equip/film/,wa_film_d01_glove,ar_film_d01_glove,so_film_d01_glove,cl_film_d01_glove,ac_film_d01_glove,as_film_d01_glove,,,,,
10074,电影鞋子（永久）|电影鞋子（永久）|电影鞋子（永久）|电影鞋子（永久）|电影鞋子（永久）|电影鞋子（永久）,4,,,,equip/film/,wa_film_d01_boots,ar_film_d01_boots,so_film_d01_boots,cl_film_d01_boots,ac_film_d01_boots,as_film_d01_boots,,,,0|0|10001|0|0|0,
10075,电影长剑（永久）|电影长弓（永久）|电影法杖（永久）|电影权杖（永久）|电影加农炮（永久）|电影长剑（永久）,5,,,,,weapon/wa_film_d01_sword_weapon,weapon/ar_film_d01_bigbow_weapon,weapon/so_film_d01_staff_weapon,weapon/cl_film_d01_mace_weapon,weapon/ac_film_d01_cannon_weapon,weapon/as_film_d01_scimitar_weapon,,,,,
10076,电影护手（永久）|电影箭袋（永久）|电影魔法书（永久）|电影盾牌（永久）|电影穿线环（永久）|电影护手（永久）,6,,,,equip/film/,wa_film_d01_gauntlet,ar_film_d01_quiver,so_film_d01_book,cl_film_d01_shield,ac_film_d01_gauntlet,as_film_d01_crook,,,,,
10080,神话帽子|神话帽子|神话帽子|神话帽子|神话帽子|神话帽子,0,,,,,wa_costume_myth_a01_helmet,ar_costume_myth_a01_helmet,so_costume_myth_a01_helmet,cl_costume_myth_a01_helmet,ac_costume_myth_a01_helmet,as_costume_myth_a01_helmet,,,,10007|0|0|0|0|0,
10081,神话上装|神话上装|神话上装|神话上装|神话上装|神话上装,1,,,,,wa_costume_myth_a01_body,ar_costume_myth_a01_body,so_costume_myth_a01_body,cl_costume_myth_a01_body,ac_costume_myth_a01_body,as_costume_myth_a01_body,,,,,
10082,神话下装|神话下装|神话下装|神话下装|神话下装|神话下装,2,,,,,wa_costume_myth_a01_leg,ar_costume_myth_a01_leg,so_costume_myth_a01_leg,cl_costume_myth_a01_leg,ac_costume_myth_a01_leg,as_costume_myth_a01_leg,,,,,
10083,神话手套|神话手套|神话手套|神话手套|神话手套|神话手套,3,,,,,wa_costume_myth_a01_glove,ar_costume_myth_a01_glove,so_costume_myth_a01_glove,cl_costume_myth_a01_glove,ac_costume_myth_a01_glove,as_costume_myth_a01_glove,,,,,
10084,神话鞋子|神话鞋子|神话鞋子|神话鞋子|神话鞋子|神话鞋子,4,,,,,wa_costume_myth_a01_boots,ar_costume_myth_a01_boots,so_costume_myth_a01_boots,cl_costume_myth_a01_boots,ac_costume_myth_a01_boots,as_costume_myth_a01_boots,,,,0|0|10001|0|0|0,
10085,神话长剑|神话长弓|神话法杖|神话权杖|神话加农炮|神话短剑,5,,,,,weapon/wa_costume_myth_a01_sword_weapon,weapon/ar_costume_myth_a01_bigbow_weapon,weapon/so_costume_myth_a01_staff_weapon,weapon/cl_costume_myth_a01_mace_weapon,weapon/ac_costume_myth_a01_cannon_weapon,weapon/as_costume_myth_a01_scimitar_weapon,,,,,
10086,神话护手|神话箭袋|神话魔法书|神话盾牌|神话穿线环|神话曲柄杖,6,,,,,wa_costume_myth_a01_gauntlet,ar_costume_myth_a01_quiver,so_costume_myth_a01_book,cl_costume_myth_a01_shield,ac_costume_myth_a01_gauntlet,as_costume_myth_a01_crook,,,,,
10090,古代帽子|古代帽子|古代帽子|古代帽子|古代帽子|古代帽子,0,,,,equip/lotus/,wa_lotus_a01_helmet,ar_lotus_a01_helmet,so_lotus_a01_helmet,cl_lotus_a01_helmet,ac_lotus_a01_helmet,as_lotus_a01_helmet,,,,10007|0|0|10007|10006|0,
10091,古代上装|古代上装|古代上装|古代上装|古代上装|古代上装,1,,,,equip/lotus/,wa_lotus_a01_body,ar_lotus_a01_body,so_lotus_a01_body,cl_lotus_a01_body,ac_lotus_a01_body,as_lotus_a01_body,,,,,
10092,古代下装|古代下装|古代下装|古代下装|古代下装|古代下装,2,,,,equip/lotus/,wa_lotus_a01_leg,ar_lotus_a01_leg,so_lotus_a01_leg,cl_lotus_a01_leg,ac_lotus_a01_leg,as_lotus_a01_leg,,,,,
10093,古代手套|古代手套|古代手套|古代手套|古代手套|古代手套,3,,,,equip/lotus/,wa_lotus_a01_glove,ar_lotus_a01_glove,so_lotus_a01_glove,cl_lotus_a01_glove,ac_lotus_a01_glove,as_lotus_a01_glove,,,,,
10094,古代鞋子|古代鞋子|古代鞋子|古代鞋子|古代鞋子|古代鞋子,4,,,,equip/lotus/,wa_lotus_a01_boots,ar_lotus_a01_boots,so_lotus_a01_boots,cl_lotus_a01_boots,ac_lotus_a01_boots,as_lotus_a01_boots,,,,0|0|10001|0|0|0,
10095,古代长剑|古代长弓|古代法杖|古代权杖|古代加农炮|古代短剑,5,,,,,weapon/wa_lotus_a01_sword_weapon,weapon/ar_lotus_a01_bigbow_weapon,weapon/so_lotus_a01_staff_weapon,weapon/cl_lotus_a01_mace_weapon,weapon/ac_lotus_a01_cannon_weapon,weapon/as_lotus_a01_scimitar_weapon,,,,,
10096,古代护手|古代箭袋|古代魔法书|古代盾牌|古代穿线环|古代曲柄杖,6,,,,equip/lotus/,wa_lotus_a01_gauntlet,ar_lotus_a01_quiver,so_lotus_a01_book,cl_lotus_a01_shield,ac_lotus_a01_gauntlet,as_lotus_a01_crook,,,,,
10100,金属帽子|金属帽子|金属帽子|金属帽子|金属帽子|金属帽子,0,,,,,wa_elecmusic_a_helmet,ar_elecmusic_a_helmet,so_elecmusic_a_helmet,cl_elecmusic_a_helmet,ac_elecmusic_a_helmet,as_elecmusic_a_helmet,,,,0|0|0|0|0|10007,
10101,金属上装|金属上装|金属上装|金属上装|金属上装|金属上装,1,,,,,wa_elecmusic_a_body,ar_elecmusic_a_body,so_elecmusic_a_body,cl_elecmusic_a_body,ac_elecmusic_a_body,as_elecmusic_a_body,,,,,
10102,金属下装|金属下装|金属下装|金属下装|金属下装|金属下装,2,,,,,wa_elecmusic_a_leg,ar_elecmusic_a_leg,so_elecmusic_a_leg,cl_elecmusic_a_leg,ac_elecmusic_a_leg,as_elecmusic_a_leg,,,,,
10103,金属手套|金属手套|金属手套|金属手套|金属手套|金属手套,3,,,,,wa_elecmusic_a_glove,ar_elecmusic_a_glove,so_elecmusic_a_glove,cl_elecmusic_a_glove,ac_elecmusic_a_glove,as_elecmusic_a_glove,,,,,
10104,金属鞋子|金属鞋子|金属鞋子|金属鞋子|金属鞋子|金属鞋子,4,,,,,wa_elecmusic_a_boots,ar_elecmusic_a_boots,so_elecmusic_a_boots,cl_elecmusic_a_boots,ac_elecmusic_a_boots,as_elecmusic_a_boots,,,,0|0|10001|0|0|0,
10105,金属长剑|金属长弓|金属法杖|金属权杖|金属加农炮|金属短剑,5,,,,,weapon/wa_elecmusic_a_sword_weapon,weapon/ar_elecmusic_a_bigbow_weapon,weapon/so_elecmusic_a_staff_weapon,weapon/cl_elecmusic_a_mace_weapon,weapon/ac_elecmusic_a_cannon_weapon,weapon/as_elecmusic_a_scimitar_weapon,,,,,
10106,金属护手|金属箭袋|金属魔法书|金属盾牌|金属穿线环|金属曲柄杖,6,,,,,wa_elecmusic_a_gauntlet,ar_elecmusic_a_quiver,so_elecmusic_a_book,cl_elecmusic_a_shield,ac_elecmusic_a_gauntlet,as_elecmusic_a_crook,,,,,
10110,棋风帽子|棋风帽子|棋风帽子|棋风帽子|棋风帽子|棋风帽子,0,,,,equip/chess/,wa_costume_chess_a01_helmet,ar_costume_chess_a01_helmet,so_costume_chess_a01_helmet,cl_costume_chess_a01_helmet,ac_costume_chess_a01_helmet,as_costume_chess_a01_helmet,,,,0|0|0|10007|10006|0,
10111,棋风上装|棋风上装|棋风上装|棋风上装|棋风上装|棋风上装,1,,,,equip/chess/,wa_costume_chess_a01_body,ar_costume_chess_a01_body,so_costume_chess_a01_body,cl_costume_chess_a01_body,ac_costume_chess_a01_body,as_costume_chess_a01_body,,,,,
10112,棋风下装|棋风下装|棋风下装|棋风下装|棋风下装|棋风下装,2,,,,equip/chess/,wa_costume_chess_a01_leg,ar_costume_chess_a01_leg,so_costume_chess_a01_leg,cl_costume_chess_a01_leg,ac_costume_chess_a01_leg,as_costume_chess_a01_leg,,,,,
10113,棋风手套|棋风手套|棋风手套|棋风手套|棋风手套|棋风手套,3,,,,equip/chess/,wa_costume_chess_a01_glove,ar_costume_chess_a01_glove,so_costume_chess_a01_glove,cl_costume_chess_a01_glove,ac_costume_chess_a01_glove,as_costume_chess_a01_glove,,,,,
10114,棋风鞋子|棋风鞋子|棋风鞋子|棋风鞋子|棋风鞋子|棋风鞋子,4,,,,equip/chess/,wa_costume_chess_a01_boots,ar_costume_chess_a01_boots,so_costume_chess_a01_boots,cl_costume_chess_a01_boots,ac_costume_chess_a01_boots,as_costume_chess_a01_boots,,,,0|0|10001|0|0|0,
10115,棋风长剑|棋风长弓|棋风法杖|棋风权杖|棋风加农炮|棋风短剑,5,,,,,weapon/wa_costume_chess_a01_sword_weapon,weapon/ar_costume_chess_a01_bigbow_weapon,weapon/so_costume_chess_a01_staff_weapon,weapon/cl_costume_chess_a01_mace_weapon,weapon/ac_costume_chess_a01_cannon_weapon,weapon/as_costume_chess_a01_scimitar_weapon,,,,,
10116,棋风护手|棋风箭袋|棋风魔法书|棋风盾牌|棋风穿线环|棋风曲柄杖,6,,,,equip/chess/,wa_costume_chess_a01_gauntlet,ar_costume_chess_a01_quiver,so_costume_chess_a01_book,cl_costume_chess_a01_shield,ac_costume_chess_a01_gauntlet,as_costume_chess_a01_crook,,,,,
10120,新校园帽子|新校园帽子|新校园帽子|新校园帽子|新校园帽子|新校园帽子,0,,,,equip/school/,wa_costume_school02_a_helmet,ar_costume_school02_a_helmet,so_costume_school02_a_helmet,cl_costume_school02_a_helmet,ac_costume_school02_a_helmet,as_costume_school01_a_helmet,,,,10007|0|0|0|10006|10007,
10121,新校园上装|新校园上装|新校园上装|新校园上装|新校园上装|新校园上装,1,,,,equip/school/,wa_costume_school02_a_body,ar_costume_school02_a_body,so_costume_school02_a_body,cl_costume_school02_a_body,ac_costume_school02_a_body,as_costume_school01_a_body,,,,,
10122,新校园下装|新校园下装|新校园下装|新校园下装|新校园下装|新校园下装,2,,,,equip/school/,wa_costume_school02_a_leg,ar_costume_school02_a_leg,so_costume_school02_a_leg,cl_costume_school02_a_leg,ac_costume_school02_a_leg,as_costume_school01_a_leg,,,,,
10123,新校园手套|新校园手套|新校园手套|新校园手套|新校园手套|新校园手套,3,,,,equip/school/,wa_costume_school02_a_glove,ar_costume_school02_a_glove,so_costume_school02_a_glove,cl_costume_school02_a_glove,ac_costume_school02_a_glove,as_costume_school01_a_glove,,,,,
10124,新校园鞋子|新校园鞋子|新校园鞋子|新校园鞋子|新校园鞋子|新校园鞋子,4,,,,equip/school/,wa_costume_school02_a_boots,ar_costume_school02_a_boots,so_costume_school02_a_boots,cl_costume_school02_a_boots,ac_costume_school02_a_boots,as_costume_school01_a_boots,,,,0|0|10001|0|0|0,
10125,新校园长剑|新校园长弓|新校园法杖|新校园权杖|新校园加农炮|新校园短剑,5,,,,,weapon/wa_costume_school02_a_sword_weapon,weapon/ar_costume_school02_a_bigbow_weapon,weapon/so_costume_school02_a_staff_weapon,weapon/cl_costume_school02_a_wand_weapon,weapon/ac_costume_school02_a_cannon_weapon,weapon/as_costume_school01_a_scimitar_weapon,,,,,
10126,新校园护手|新校园箭袋|新校园魔法书|新校园盾牌|新校园穿线环|新校园曲柄杖,6,,,,equip/school/,wa_costume_school02_a_gauntlet,ar_costume_school02_a_quiver,so_costume_school02_a_book,cl_costume_school02_a_shield,ac_costume_school02_a_gauntlet,as_costume_school01_a_crook,,,,,
10130,ziyo帽子|ziyo帽子|ziyo帽子|ziyo帽子|ziyo帽子|ziyo帽子,0,,,,equip/ziyo/,wa_ziyo_d03_helmet,ar_ziyo_d03_helmet,so_ziyo_d03_helmet,cl_ziyo_d03_helmet,ac_ziyo_d03_helmet,as_ziyo_d03_helmet,,,,0|0|0|0|10006|0,
10131,ziyo上装|ziyo上装|ziyo上装|ziyo上装|ziyo上装|ziyo上装,1,,,,equip/ziyo/,wa_ziyo_d03_body,ar_ziyo_d03_body,so_ziyo_d03_body,cl_ziyo_d03_body,ac_ziyo_d03_body,as_ziyo_d03_body,,,,,
10132,ziyo下装|ziyo下装|ziyo下装|ziyo下装|ziyo下装|ziyo下装,2,,,,equip/ziyo/,wa_ziyo_d03_leg,ar_ziyo_d03_leg,so_ziyo_d03_leg,cl_ziyo_d03_leg,ac_ziyo_d03_leg,as_ziyo_d03_leg,,,,,
10133,ziyo手套|ziyo手套|ziyo手套|ziyo手套|ziyo手套|ziyo手套,3,,,,equip/ziyo/,wa_ziyo_d03_glove,ar_ziyo_d03_glove,so_ziyo_d03_glove,cl_ziyo_d03_glove,ac_ziyo_d03_glove,as_ziyo_d03_glove,,,,,
10134,ziyo鞋子|ziyo鞋子|ziyo鞋子|ziyo鞋子|ziyo鞋子|ziyo鞋子,4,,,,equip/ziyo/,wa_ziyo_d03_boots,ar_ziyo_d03_boots,so_ziyo_d03_boots,cl_ziyo_d03_boots,ac_ziyo_d03_boots,as_ziyo_d03_boots,,,,0|0|10001|0|0|0,
10135,ziyo长剑|ziyo长弓|ziyo法杖|ziyo权杖|ziyo加农炮|ziyo短剑,5,,,,,weapon/wa_ziyo_d03_sword_weapon,weapon/ar_ziyo_d03_bigbow_weapon,weapon/so_ziyo_d03_staff_weapon,weapon/cl_ziyo_d03_mace_weapon,weapon/ac_ziyo_d03_cannon_weapon,weapon/as_ziyo_d03_scimitar_weapon,,,,,
10136,ziyo护手|ziyo箭袋|ziyo魔法书|ziyo盾牌|ziyo穿线环|ziyo曲柄杖,6,,,,equip/ziyo/,wa_ziyo_d03_gauntlet,ar_ziyo_d03_quiver,so_ziyo_d03_book,cl_ziyo_d03_shield,ac_ziyo_d03_gauntlet,as_ziyo_d03_crook,,,,,
10150,驱魔师帽子|驱魔师帽子|驱魔师帽子|驱魔师帽子|驱魔师帽子|驱魔师帽子,0,,,,equip/priest/,wa_costume_priest_a01_helmet,ar_costume_priest_a01_helmet,so_costume_priest_a01_helmet,cl_costume_priest_a01_helmet,ac_costume_priest_a01_helmet,as_costume_priest_a01_helmet,,,,0|0|0|0|10006|0,
10151,驱魔师上装|驱魔师上装|驱魔师上装|驱魔师上装|驱魔师上装|驱魔师上装,1,,,,equip/priest/,wa_costume_priest_a01_body,ar_costume_priest_a01_body,so_costume_priest_a01_body,cl_costume_priest_a01_body,ac_costume_priest_a01_body,as_costume_priest_a01_body,,,,,
10152,驱魔师下装|驱魔师下装|驱魔师下装|驱魔师下装|驱魔师下装|驱魔师下装,2,,,,equip/priest/,wa_costume_priest_a01_leg,ar_costume_priest_a01_leg,so_costume_priest_a01_leg,cl_costume_priest_a01_leg,ac_costume_priest_a01_leg,as_costume_priest_a01_leg,,,,,
10153,驱魔师手套|驱魔师手套|驱魔师手套|驱魔师手套|驱魔师手套|驱魔师手套,3,,,,equip/priest/,wa_costume_priest_a01_glove,ar_costume_priest_a01_glove,so_costume_priest_a01_glove,cl_costume_priest_a01_glove,ac_costume_priest_a01_glove,as_costume_priest_a01_glove,,,,,
10154,驱魔师鞋子|驱魔师鞋子|驱魔师鞋子|驱魔师鞋子|驱魔师鞋子|驱魔师鞋子,4,,,,equip/priest/,wa_costume_priest_a01_boots,ar_costume_priest_a01_boots,so_costume_priest_a01_boots,cl_costume_priest_a01_boots,ac_costume_priest_a01_boots,as_costume_priest_a01_boots,,,,0|0|10001|0|0|0,
10155,驱魔师长剑|驱魔师长弓|驱魔师法杖|驱魔师权杖|驱魔师加农炮|驱魔师短剑,5,,,,,weapon/wa_costume_priest_a01_sword_weapon,weapon/ar_costume_priest_a01_bigbow_weapon,weapon/so_costume_priest_a01_staff_weapon,weapon/cl_costume_priest_a01_mace_weapon,weapon/ac_costume_priest_a01_cannon_weapon,weapon/as_costume_priest_a01_scimitar_weapon,,,,,
10156,驱魔师护手|驱魔师箭袋|驱魔师魔法书|驱魔师盾牌|驱魔师穿线环|驱魔师曲柄杖,6,,,,equip/priest/,wa_costume_priest_a01_gauntlet,ar_costume_priest_a01_quiver,so_costume_priest_a01_book,cl_costume_priest_a01_shield,ac_costume_priest_a01_gauntlet,as_costume_priest_a01_crook,,,,,
10160,皇室帽子|皇室帽子|皇室帽子|皇室帽子|皇室帽子|皇室帽子,0,,,,equip/summer02/,wa_costume_summer02_a_helmet,ar_costume_summer02_a_helmet,so_costume_summer02_a_helmet,cl_costume_summer02_a_helmet,ac_costume_summer02_a_helmet,as_costume_summer02_a_helmet,,,,0|0|0|10007|0|0,
10161,皇室上装|皇室上装|皇室上装|皇室上装|皇室上装|皇室上装,1,,,,equip/summer02/,wa_costume_summer02_a_body,ar_costume_summer02_a_body,so_costume_summer02_a_body,cl_costume_summer02_a_body,ac_costume_summer02_a_body,as_costume_summer02_a_body,,,,,
10162,皇室下装|皇室下装|皇室下装|皇室下装|皇室下装|皇室下装,2,,,,equip/summer02/,wa_costume_summer02_a_leg,ar_costume_summer02_a_leg,so_costume_summer02_a_leg,cl_costume_summer02_a_leg,ac_costume_summer02_a_leg,as_costume_summer02_a_leg,,,,,
10163,皇室手套|皇室手套|皇室手套|皇室手套|皇室手套|皇室手套,3,,,,equip/summer02/,wa_costume_summer02_a_glove,ar_costume_summer02_a_glove,so_costume_summer02_a_glove,cl_costume_summer02_a_glove,ac_costume_summer02_a_glove,as_costume_summer02_a_glove,,,,,
10164,皇室鞋子|皇室鞋子|皇室鞋子|皇室鞋子|皇室鞋子|皇室鞋子,4,,,,equip/summer02/,wa_costume_summer02_a_boots,ar_costume_summer02_a_boots,so_costume_summer02_a_boots,cl_costume_summer02_a_boots,ac_costume_summer02_a_boots,as_costume_summer02_a_boots,,,,0|0|10001|0|0|0,
10165,皇室长剑|皇室长弓|皇室法杖|皇室权杖|皇室加农炮|皇室短剑,5,,,,,weapon/wa_costume_summer02_a_sword_weapon,weapon/ar_costume_summer02_a_bigbow_weapon,weapon/so_costume_summer02_a_staff_weapon,weapon/cl_costume_summer02_a_mace_weapon,weapon/ac_costume_summer02_a_cannon_weapon,weapon/as_costume_summer02_a_scimitar_weapon,,,,,
10166,皇室护手|皇室箭袋|皇室魔法书|皇室盾牌|皇室穿线环|皇室曲柄杖,6,,,,equip/summer02/,wa_costume_summer02_a_gauntlet,ar_costume_summer02_a_quiver,so_costume_summer02_a_book,cl_costume_summer02_a_shield,ac_costume_summer02_a_gauntlet,as_costume_summer02_a_crook,,,,,
10220,棒球帽子|棒球帽子|棒球帽子|棒球帽子|棒球帽子|棒球帽子,0,,,,,wa_costume_baseball_a_helmet,ar_costume_baseball_a_helmet,so_costume_baseball_a_helmet,cl_costume_baseball_a_helmet,ac_costume_baseball_a_helmet,as_costume_baseball_a_helmet,,,,10007|0|0|10007|10006|10007,
10221,棒球上装|棒球上装|棒球上装|棒球上装|棒球上装|棒球上装,1,,,,,wa_costume_baseball_a_body,ar_costume_baseball_a_body,so_costume_baseball_a_body,cl_costume_baseball_a_body,ac_costume_baseball_a_body,as_costume_baseball_a_body,,,,,
10222,棒球下装|棒球下装|棒球下装|棒球下装|棒球下装|棒球下装,2,,,,,wa_costume_baseball_a_leg,ar_costume_baseball_a_leg,so_costume_baseball_a_leg,cl_costume_baseball_a_leg,ac_costume_baseball_a_leg,as_costume_baseball_a_leg,,,,,
10223,棒球手套|棒球手套|棒球手套|棒球手套|棒球手套|棒球手套,3,,,,,wa_costume_baseball_a_glove,ar_costume_baseball_a_glove,so_costume_baseball_a_glove,cl_costume_baseball_a_glove,ac_costume_baseball_a_glove,as_costume_baseball_a_glove,,,,,
10224,棒球鞋子|棒球鞋子|棒球鞋子|棒球鞋子|棒球鞋子|棒球鞋子,4,,,,,wa_costume_baseball_a_boots,ar_costume_baseball_a_boots,so_costume_baseball_a_boots,cl_costume_baseball_a_boots,ac_costume_baseball_a_boots,as_costume_baseball_a_boots,,,,0|0|10001|0|0|0,
10225,棒球长剑|棒球长弓|棒球法杖|棒球权杖|棒球加农炮|棒球短剑,5,,,,,weapon/wa_costume_baseball_a_sword_weapon,weapon/ar_costume_baseball_a_bigbow_weapon,weapon/so_costume_baseball_a_staff_weapon,weapon/cl_costume_baseball_a_mace_weapon,weapon/ac_costume_baseball_a_cannon_weapon,weapon/as_costume_baseball_a_scimitar_weapon,,,,,
10226,棒球护手|棒球箭袋|棒球魔法书|棒球盾牌|棒球穿线环|棒球曲柄杖,6,,,,,wa_costume_baseball_a_gauntlet,ar_costume_baseball_a_quiver,so_costume_baseball_a_book,cl_costume_baseball_a_shield,ac_costume_baseball_a_gauntlet,as_costume_baseball_a_crook,,,,,
