SceneID,Comment,SceneType,IsStaticScene,PreTask,PreScene,RequiredLevel,SyncMode,SwitchToSelf,CanReconnect,EndTimeOut,IsCanQuit,DelayTransfer,LineRoleCount,Buff,SceneFile,UnitySceneFile,ScenePath,BGM,BlockFilePath,OperationSettings,StartPos,StartFace,StartRot,Chapter,UIPos,BoxUIPos,UIIcon,FatigueCost,ViewableDropList,Exp,Drop,Drop1,Drop2,Drop3,Drop4,Drop5,Money,FirstDownExp,FirstDownDrop,FirstDownMoney,FirstSSS,ExpSealReward,SceneChest,DiamondDropID,GoldDropID,SilverDropID,CopperDropID,SBox,SSBox,SSSBox,IsBoss,RecommendPower,BossAvatar,BossIcon,EndCutScene,EndCutSceneTime,WinCondition,LoseCondition,WinDelayTime,DayLimit,CoolDown,DayLimitGroupID,CanDrawBox,HasFlyOut,DynamicScene,EnvSet,CanRevive,ReviveNumb,ReviveCost,ReviveMoneyCost,ReviveTime,ReviveBuff,ReviveBuffTip,CanPause,ShowUp,LoadingTips,LoadingPic,SceneCanNavi,ShowAutoFight,ShowBattleStatistics,RandomTaskType,RandomTaskSpecify,UseSupplement,HurtCoef,MiniMap,MiniMapSize,MiniMapOutSize,MiniMapRotation,StaticMiniMapCenter,SceneAI,PPTCoff,GuildExpBounus,FailText,LeaveSceneTip,RecommendHint,TeamInfoDefaultTab,CombatType,SweepNeedPPT,TimeCounter,HasComboBuff,DisplayPet,AutoReturn,StoryDriver,MinPassTime,ShowSkill,ShowNormalAttack,WinConditionTips,BattleExplainTips,DPS,CanVIPRevive,HideTeamIndicate,ShieldSight,SpecifiedTargetLocatedRange,SpactivityActiveDrop,SpActivityDrop,VipReviveLimit
21,试炼之地,26,0,,,15,0,TRUE,,,TRUE,,,,Level/Other/ProfessionTransfer_1,DN_Lv1_1_6,DN_Lv_1/DN_Lv1_1_6/DN_Lv1_1_6,Audio/mapambience/BGM_Desert,Table/SceneBlock/scene106,11|1011,28=10=149,,0|0|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,2=0,1=0,,,,,FALSE,TRUE,DN_Lvnew5_9,,TRUE,,,,,,,FALSE,FALSE,通过试炼可以体验到不同职业的转职效果哦|勇士，恭喜你突破了力量极限，可以成功转职啦,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,FALSE,FALSE,,,,1,minimap_106,200|200,,0,,Scene_ProfessionTransfer_1,,,,,,,,1000,,FALSE,FALSE,,,0,TRUE,TRUE,,,2500=80,1,FALSE,,-1,,,
22,试炼地狱,26,0,,,15,0,TRUE,,,TRUE,,,,Level/Other/ProfessionTransfer_2,DN_Lv1_1_6,DN_Lv_1/DN_Lv1_1_6/DN_Lv1_1_6,Audio/mapambience/BGM_Desert,Table/SceneBlock/scene106,11|1011,122=5.189=92.5,,0|0|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,2=0,1=0,,,,,FALSE,TRUE,DN_LvProfessionTransfer_2,,TRUE,,,,,,,FALSE,FALSE,通过试炼可以体验到不同职业的转职效果哦|勇士，恭喜你突破了力量极限，可以再次转职了,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,FALSE,FALSE,,,,1,minimap_106,200|200,,0,,Scene_ProfessionTransfer_2,,,,,,,,1000,,FALSE,FALSE,,,0,TRUE,TRUE,,,2500=80,1,FALSE,,-1,,,
23,转职之地,26,0,,,15,0,TRUE,,,TRUE,,,,Level/Other/ProfessionTransfer_3,DN_Lv1_1_6,DN_Lv_1/DN_Lv1_1_6/DN_Lv1_1_6,Audio/mapambience/BGM_Desert,Table/SceneBlock/scene106,11|1011,28=10=149,,0|0|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,2=0,1=0,,,,,FALSE,TRUE,DN_Lvnew5_9,,TRUE,,,,,,,FALSE,FALSE,通过试炼可以体验到不同职业的技能哦|恭喜你突破了自己的极限，可以自由选择职业了,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,FALSE,FALSE,,,,1,minimap_106,200|200,,0,,,,,,,,,,1000,,FALSE,FALSE,,,0,TRUE,TRUE,,,2500=80,1,FALSE,,-1,,,
25,回归关卡,62,0,,,,0,FALSE,,,FALSE,,,,Level/Other/Return,DN_maincity_sstt,DN_maincity_sstt/DN_maincity_sstt,Audio/mapambience/zhucheng,Table/SceneBlock/hall,1|1001,99.67=0.09=49.22868,,0|0|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,1=0,,,,,,FALSE,TRUE,Return,0=21600=1|21600=64800=0|64800=86400=1,FALSE,,,,,,,,FALSE,,Loading_29,TRUE,FALSE,FALSE,,,,1,,,,,,Scene_Return,,,,,,,,1000,,FALSE,FALSE,,,0,FALSE,TRUE,,,,1,FALSE,,-1,,,
30,天空竞技场等待区,24,0,,,,1,FALSE,,,FALSE,,30,,,3v3_daiji,DN_FB/3v3_daiji/3v3_daiji,Audio/mapambience/shulin,Table/SceneBlock/3v3_daiji,1|1001,63.28=0.07=62.39,,0|-160|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,FALSE,FALSE,天空竞技场，巅峰竞技赛事，每周一和周五晚8点，不见不散|巅峰竞技，赢取龙币龙玉和公会贡献,Loading_27,FALSE,FALSE,FALSE,,,,1,minimap_3v3_0,100|100,,180,,,,,,,,,,1000,,FALSE,TRUE,,,0,FALSE,FALSE,,,,1,FALSE,,-1,,,
31,天空竞技场第一层,25,0,,,,1,TRUE,,,FALSE,,,600004=1,,3v3_zhandou,DN_FB/3v3_zhandou/3v3_zhandou,Audio/mapambience/PVP,Table/SceneBlock/3v3_zhandou,5|1005,21=0.07=21|36.5=0.07=36.5,0|180,0|0|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,FALSE,FALSE,天空竞技场，巅峰竞技赛事，每周一和周五晚8点，不见不散|巅峰竞技，赢取龙币龙玉和公会贡献,Loading_27,FALSE,FALSE,FALSE,,,,1,minimap_3v3_1,100|100,,180,,,,,,,,,1,1000,,FALSE,FALSE,,,0,TRUE,TRUE,,,,1,FALSE,,-1,,,
32,天空竞技场第二层,25,0,,,,1,TRUE,,,FALSE,,,600004=1,,3v3_zhandou1,DN_FB/3v3_zhandou/3v3_zhandou,Audio/mapambience/PVP,Table/SceneBlock/3v3_zhandou,5|1005,21=0.07=21|36.5=0.07=36.5,0|180,0|0|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,FALSE,FALSE,天空竞技场，巅峰竞技赛事，每周一和周五晚8点，不见不散|巅峰竞技，赢取龙币龙玉和公会贡献,Loading_27,FALSE,FALSE,FALSE,,,,1,minimap_3v3_1,100|100,,180,,,,,,,,,1,1000,,FALSE,FALSE,,,0,TRUE,TRUE,,,,1,FALSE,,-1,,,
33,天空竞技场第三层,25,0,,,,1,TRUE,,,FALSE,,,600004=1,,3v3_zhandou,DN_FB/3v3_zhandou/3v3_zhandou,Audio/mapambience/PVP,Table/SceneBlock/3v3_zhandou,5|1005,21=0.07=21|36.5=0.07=36.5,0|180,0|0|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,FALSE,FALSE,天空竞技场，巅峰竞技赛事，每周一和周五晚8点，不见不散|巅峰竞技，赢取龙币龙玉和公会贡献,Loading_27,FALSE,FALSE,FALSE,,,,1,minimap_3v3_1,100|100,,180,,,,,,,,,1,1000,,FALSE,FALSE,,,0,TRUE,TRUE,,,,1,FALSE,,-1,,,
34,天空竞技场第四层,25,0,,,,1,TRUE,,,FALSE,,,600004=1,,3v3_zhandou1,DN_FB/3v3_zhandou/3v3_zhandou,Audio/mapambience/PVP,Table/SceneBlock/3v3_zhandou,5|1005,21=0.07=21|36.5=0.07=36.5,0|180,0|0|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,FALSE,FALSE,天空竞技场，巅峰竞技赛事，每周一和周五晚8点，不见不散|巅峰竞技，赢取龙币龙玉和公会贡献,Loading_27,FALSE,FALSE,FALSE,,,,1,minimap_3v3_1,100|100,,180,,,,,,,,,1,1000,,FALSE,FALSE,,,0,TRUE,TRUE,,,,1,FALSE,,-1,,,
35,天空竞技场第五层,25,0,,,,1,TRUE,,,FALSE,,,600004=1,,3v3_zhandou,DN_FB/3v3_zhandou/3v3_zhandou,Audio/mapambience/PVP,Table/SceneBlock/3v3_zhandou,5|1005,21=0.07=21|36.5=0.07=36.5,0|180,0|0|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,FALSE,FALSE,天空竞技场，巅峰竞技赛事，每周一和周五晚8点，不见不散|巅峰竞技，赢取龙币龙玉和公会贡献,Loading_27,FALSE,FALSE,FALSE,,,,1,minimap_3v3_1,100|100,,180,,,,,,,,,1,1000,,FALSE,FALSE,,,0,TRUE,TRUE,,,,1,FALSE,,-1,,,
36,天空竞技场第六层,25,0,,,,1,TRUE,,,FALSE,,,600004=1,,3v3_zhandou1,DN_FB/3v3_zhandou/3v3_zhandou,Audio/mapambience/PVP,Table/SceneBlock/3v3_zhandou,5|1005,21=0.07=21|36.5=0.07=36.5,0|180,0|0|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,FALSE,FALSE,天空竞技场，巅峰竞技赛事，每周一和周五晚8点，不见不散|巅峰竞技，赢取龙币龙玉和公会贡献,Loading_27,FALSE,FALSE,FALSE,,,,1,minimap_3v3_1,100|100,,180,,,,,,,,,1,1000,,FALSE,FALSE,,,0,TRUE,TRUE,,,,1,FALSE,,-1,,,
37,天空竞技场第七层,25,0,,,,1,TRUE,,,FALSE,,,600004=1,,3v3_zhandou,DN_FB/3v3_zhandou/3v3_zhandou,Audio/mapambience/PVP,Table/SceneBlock/3v3_zhandou,5|1005,21=0.07=21|36.5=0.07=36.5,0|180,0|0|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,FALSE,FALSE,天空竞技场，巅峰竞技赛事，每周一和周五晚8点，不见不散|巅峰竞技，赢取龙币龙玉和公会贡献,Loading_27,FALSE,FALSE,FALSE,,,,1,minimap_3v3_1,100|100,,180,,,,,,,,,1,1000,,FALSE,FALSE,,,0,TRUE,TRUE,,,,1,FALSE,,-1,,,
41,擂台战积分赛,27,0,,,,1,TRUE,TRUE,60,FALSE,,20,,Level/Other/leitaijifensai,wugu,DN_FB/wugu/wugu,Audio/mapambience/PVP,Table/SceneBlock/wugu,5|1005,39.33=7.7=102.2|75.31=5.7=40.44,162|-18,0|162|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,FALSE,FALSE,积分赛每个成员只可以上阵一局战斗哦，为公会积分排名加油战斗吧！|参战公会成员可以在观战时点击鼓舞按钮免费提升己方参战成员属性哦！,Loading_15,FALSE,FALSE,FALSE,,,,1,minimap_wugu,150|150,,0,,,,,,,,,1,1000,,FALSE,FALSE,,,0,TRUE,TRUE,,,,1,TRUE,,-1,,,
